Baublock;Einwohner
101010;35
101020;10
101030;142
101040;198
101051;105
101052;167
101060;89
101070;39
101080;178
101090;91
101100;24
101110;118
101120;176
101130;86
101140;103
101150;43
101160;160
101170;109
101180;79
101190;99
101200;71
101210;139
101220;175
101240;112
101250;29
101260;116
101270;148
101280;121
101290;113
101300;104
101310;18
101320;135
102011;149
102012;55
102030;32
102040;46
102050;174
102060;196
102070;187
102080;183
102090;21
102100;68
102120;159
102130;125
102150;136
103010;64
103020;170
103030;41
103040;122
103050;110
103060;58
103070;166
103080;36
103090;12
103100;34
103110;153
103120;197
104010;4
104020;152
104030;78
104040;160
104060;41
105010;19
105020;102
105030;176
105040;22
105050;44
105060;65
105070;90
105080;47
105090;61
105100;184
105110;54
105120;9
105130;39
105140;122
105150;55
105160;182
106020;64
108010;193
108020;9
108030;64
108040;66
108060;108
109020;98
109030;197
109040;162
109050;90
109060;190
109070;137
109080;89
109090;131
109110;92
109120;32
109130;72
109140;51
109150;130
109160;16
109170;97
109180;93
109190;164
109200;158
109210;107
109220;190
109240;165
109250;77
109260;104
109270;111
109280;22
111010;64
111022;99
111030;28
111040;5
111050;133
112020;129
112030;99
112040;36
112050;1
112060;133
112070;171
112080;39
112090;8
112100;37
112110;6
112120;114
112130;165
113010;57
113020;48
113030;42
113040;89
113060;25
113070;79
113080;26
113090;198
113100;121
113120;31
113150;2
114010;152
114020;30
114030;160
114040;33
114050;80
114060;134
114070;2
114080;27
114090;61
114100;125
114110;182
114120;120
114130;183
114140;6
114150;90
115030;66
115040;88
115050;62
115070;130
115110;150
115120;30
116010;133
116020;130
116030;125
116050;54
116060;193
116080;70
116090;33
116100;104
116110;193
116120;33
116130;186
116140;187
116150;9
117020;170
117030;40
117040;90
117050;56
117060;104
117080;58
117110;83
118010;20
118020;141
118040;49
131010;71
131020;182
131030;117
131040;114
131050;181
131060;44
131070;22
131080;61
131090;115
131100;125
131110;111
131120;122
131130;177
131140;43
131150;10
131160;161
131170;3
131180;11
131190;17
131200;98
131220;120
131230;51
131240;139
131250;2
131260;65
132010;7
132020;18
132040;179
132050;192
132060;152
132070;125
132090;40
133010;3
133020;164
133040;128
133050;59
133060;122
133070;59
133080;188
133090;29
133100;94
133110;2
133120;173
133130;27
133140;12
133150;188
133160;101
133170;64
133180;169
133190;43
133200;37
134010;57
134020;34
134030;134
134040;159
134050;179
134060;69
134070;123
134080;130
134090;157
134100;52
134110;62
134120;194
134130;30
134140;149
134150;79
134160;93
134170;140
134180;52
134190;11
134200;93
134210;180
141010;159
141020;153
141040;91
141050;107
141060;120
141080;49
141090;187
141100;107
141110;6
141120;185
141130;156
141140;123
141170;118
141180;191
141200;163
141210;168
141220;24
141230;131
141240;146
141250;122
141260;177
141270;86
141280;173
141290;7
142010;54
142021;75
142040;69
142050;92
142060;90
142070;21
142080;177
142090;50
142100;179
142110;118
142120;33
143010;114
143040;106
143060;196
143080;67
143090;85
143100;72
143110;27
143120;56
143130;180
143140;47
143150;176
143160;171
143180;32
143190;42
143200;102
143210;144
143220;107
143240;78
143250;71
143260;104
143270;156
143280;191
143290;49
143300;82
143310;178
143320;34
143330;17
