Ursprungsname;Anteil_NA;Anzahl_unters_Werte;Analysename
alterswertminderung_hg;0.07;68;
angepasster_brw_eur_qm;0.44;95;
anteilgesamtobjekt_nenner;0;9;
anteilgesamtobjekt_zaehler;0;5;
anz_einheiten_anlage;1.22;76;
anz_einheiten_gebaeude;1.51;69;
anzahl_carport_hg;99.37;2;
anzahl_garage_hg;80.72;5;
anzahl_stellplaetze_garagen;13.86;9;
anzahl_stellplatz_hg;89.02;6;
anzahl_tgstellplatz_hg;93.7;3;
anzahlgeschosse_hg;0.37;13;
anzahlgewerbeeinheitengebaeude_hg;80.94;13;
anzahlterrasse_balkon_hg;13.27;8;
anzahlvollgeschosse_hg;3.06;11;
ask_aussenwaende1;97.2;3;
ask_aussenwaende2;70.84;5;
ask_aussenwaende3;78.07;4;
ask_aussenwaende4;90.64;3;
ask_aussenwaende5;99.52;1;
ask_aussenwaende_calc;38.52;11;
ask_calc;39;32;
ask_dach1;93.92;4;
ask_dach2;76.82;5;
ask_dach3;78.25;4;
ask_dach4;87.91;5;
ask_dach5;99.26;2;
ask_dach_calc;38.59;10;
ask_deckenkonstruktiontreppen1;97.9;6;
ask_deckenkonstruktiontreppen2;87.73;8;
ask_deckenkonstruktiontreppen3;49.61;8;
ask_deckenkonstruktiontreppen4;90.86;7;
ask_deckenkonstruktiontreppen5;94.29;6;
ask_deckenkonstruktiontreppen_calc;38.67;10;
ask_fensteraussentueren1;96.72;6;
ask_fensteraussentueren2;69;7;
ask_fensteraussentueren3;63.47;10;
ask_fensteraussentueren4;85.04;9;
ask_fensteraussentueren5;98.78;5;
ask_fensteraussentueren_calc;38.56;10;
ask_fussboeden1;98.64;3;
ask_fussboeden2;84.7;5;
ask_fussboeden3;63.36;6;
ask_fussboeden4;89.16;5;
ask_fussboeden5;99;4;
ask_fussboeden_calc;38.48;5;
ask_heizung1;98.82;2;
ask_heizung2;65.35;4;
ask_heizung3;79.69;4;
ask_heizung4;93.84;4;
ask_heizung5;99.26;2;
ask_heizung_calc;38.52;8;
ask_innenwaendetueren1;94.77;6;
ask_innenwaendetueren2;74.49;9;
ask_innenwaendetueren3;46;10;
ask_innenwaendetueren4;92.33;6;
ask_innenwaendetueren5;99.52;3;
ask_innenwaendetueren_calc;38.59;9;
ask_sanitaereinrichtungen1;98.34;3;
ask_sanitaereinrichtungen2;74.16;5;
ask_sanitaereinrichtungen3;73.46;5;
ask_sanitaereinrichtungen4;92.44;4;
ask_sanitaereinrichtungen5;96.68;3;
ask_sanitaereinrichtungen_calc;38.56;8;
ask_sonstigetechausstattung1;96.46;3;
ask_sonstigetechausstattung2;86.4;4;
ask_sonstigetechausstattung3;60.6;6;
ask_sonstigetechausstattung4;93.51;5;
ask_sonstigetechausstattung5;98.64;5;
ask_sonstigetechausstattung_calc;38.67;6;
ask_user;64.54;27;
aufteilungsplannr;0.04;447;
aufzug;5.82;2;
ausstattungsklasse_hg;6.52;33;Ausstattung
baujahr_fiktiv_hg;35.64;65;
baujahr_hg;0;113;Baujahr
baulandflaeche;0;786;
bearbeitungsdatum;0;833;
bemerkungen_vertragsdaten;61.37;555;
ber_kp_wf_wte;0;1651;Preis
bodenwert;0.48;2135;
bodenwert_anteilig_calc;0.48;2137;
bodenwert_anteilig_user;99.85;1;
bodenwert_calc;0.44;1448;
brw_breite;94.51;1;
brw_flaeche;98.42;12;
brw_gez;1.77;17;
brw_gfz;38.04;13;
brw_grz;81.79;1;
brw_nr;1.03;334;
brw_stichtag;1.14;8;
brw_tiefe;57.06;10;
brw_wert;0.44;52;
bwk_euro_garage;99.96;1;
bwk_euro_wohnen;5.75;2244;
bwk_euro_wohnen_summe;6.23;2244;
bwk_instandhaltungskosten_faktor_gar;41.28;1;
bwk_instandhaltungskosten_faktor_woh;0;2;
bwk_instandhaltungskosten_gar;99.96;1;
bwk_instandhaltungskosten_ges_gar;58.72;2;
bwk_instandhaltungskosten_ges_woh;2.73;1467;
bwk_instandhaltungskosten_gew;57.32;5;
bwk_instandhaltungskosten_gew2;57.32;5;
bwk_instandhaltungskosten_gew3;57.32;5;
bwk_instandhaltungskosten_woh;2.32;7;
bwk_jahr_modellwerte;57.32;6;
bwk_mietausfallwagnis_gar;99.96;1;
bwk_mietausfallwagnis_ges_woh;8.85;1904;
bwk_mietausfallwagnis_gew;58.27;2;
bwk_mietausfallwagnis_woh;2.32;1;
bwk_pauschal_ges_woh;99.52;1;
bwk_prozent_gewerbe;99.85;1;
bwk_prozent_wohnen;9.14;41;
bwk_verwaltungskosten_faktor_gar;41.28;1;
bwk_verwaltungskosten_faktor_woh;0;3;
bwk_verwaltungskosten_gar;99.96;1;
bwk_verwaltungskosten_ges_gar;99.96;1;
bwk_verwaltungskosten_ges_woh;7.15;13;
bwk_verwaltungskosten_gew;57.32;1;
bwk_verwaltungskosten_woh;2.32;10;
dachraum;0.18;2;
